Sample_ID,Donor,Treatment,Timepoint
MK434_139,WT3,DiABZi_25nM,24hr
MK434_140,WT3,ST002_25uM,24hr
MK434_141,WT3,ST002_50uM,24hr
MK434_142,WT3,ST012_25uM,24hr
MK434_143,WT3,ST012_50uM,24hr
MK434_144,WT3,ST020_25uM,24hr
MK434_145,WT3,ST020_50uM,24hr
MK434_146,WT3,INI3069_25uM,24hr
MK434_147,WT3,INI3069_50uM,24hr
MK434_148,WT4,DMSO,24hr
MK434_149,WT4,DiABZi_5nM,24hr
MK434_150,WT4,DiABZi_25nM,24hr
MK434_151,WT4,ST002_25uM,24hr
MK434_152,WT4,ST002_50uM,24hr
MK434_153,WT4,ST012_25uM,24hr
MK434_154,WT4,ST012_50uM,24hr
MK434_155,WT4,ST020_25uM,24hr
MK434_156,WT4,ST020_50uM,24hr
MK434_157,WT4,INI3069_25uM,24hr
MK434_158,WT4,INI3069_50uM,24hr
MK434_159,WT4,IL15,24hr
MK434_160,BRIDGING,BRIDGING,BRIDGING
